t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
7.69E-05,-0.322533,-0.322533,-5.8451233,-5.8451233,-5.845124,-5.8451233,0.47243893,1.5590484,3.46E-06
7.72E-05,-0.3903245,-0.3903245,-5.8164783,-5.8164783,-5.8164773,-5.8164783,0.48363936,1.59601,3.73E-06
7.76E-05,-0.4748897,-0.4748897,-5.7855306,-5.7855306,-5.7855306,-5.78553,0.49655125,1.638619,4.07E-06
7.81E-05,-0.57952005,-0.57952005,-5.752726,-5.752726,-5.7527246,-5.7527256,0.5112888,1.687253,4.49E-06
7.86E-05,-0.71905375,-0.71905375,-5.7159724,-5.7159724,-5.715972,-5.7159715,0.529463,1.7472277,5.05E-06
7.92E-05,-0.8960159,-0.8960159,-5.6776724,-5.6776724,-5.6776705,-5.677672,0.55076593,1.8175273,5.79E-06
8.01E-05,-1.1403923,-1.1403923,-5.6356854,-5.6356854,-5.635684,-5.6356835,0.5780634,1.9076095,6.85E-06
8.12E-05,-1.4766006,-1.4766006,-5.5921326,-5.5921326,-5.5921307,-5.5921316,0.6130218,2.0229719,8.51E-06
8.28E-05,-1.9917747,-1.9917747,-5.5465946,-5.5465946,-5.546593,-5.5465927,0.6633411,2.1890254,1.14E-05
8.52E-05,-2.807073,-2.807073,-5.507483,-5.507483,-5.50748,-5.507481,0.7397088,2.4410388,1.77E-05
8.97E-05,-4.2640247,-4.2640247,-5.50347,-5.50347,-5.503468,-5.503467,0.8789149,2.9004192,2.65E-05
9.21E-05,-4.9589505,-4.9589505,-5.542511,-5.542511,-5.5425076,-5.5425086,0.95233554,3.1427073,3.32E-05
9.42E-05,-5.4983053,-5.4983053,-5.6411815,-5.6411815,-5.641179,-5.6411786,1.0171345,3.3565438,3.88E-05
9.54E-05,-5.7525296,-5.7525296,-5.779911,-5.779911,-5.7799077,-5.7799087,1.0543675,3.4794128,4.30E-05
9.65E-05,-5.9594126,-5.9594126,-5.961774,-5.961774,-5.9617715,-5.9617705,1.0907302,3.5994096,4.56E-05
