time	V(n001)	I(Cij)
1.589082872999078e-06	3.199982e+00	-3.211595e-03
1.595608141994952e-06	3.199982e+00	-3.212078e-03
1.601394181359231e-06	3.199982e+00	-3.212149e-03
1.608077231831341e-06	3.199982e+00	-3.211716e-03
1.613084860292592e-06	3.199982e+00	-3.211460e-03
1.620473096778077e-06	3.199982e+00	-3.211742e-03
1.627512401672297e-06	3.199982e+00	-3.212189e-03
1.634236718687064e-06	3.199982e+00	-3.212061e-03
1.641207034419063e-06	3.199982e+00	-3.211594e-03
1.646850645748783e-06	3.199982e+00	-3.211552e-03
1.653724402028705e-06	3.199982e+00	-3.211998e-03
1.658921465312749e-06	3.199982e+00	-3.212248e-03
1.666461973642032e-06	3.199982e+00	-3.211960e-03
1.674088831438613e-06	3.199982e+00	-3.211561e-03
1.681414976915466e-06	3.199982e+00	-3.211802e-03
1.688701020872279e-06	3.199982e+00	-3.212246e-03
1.695318838487596e-06	3.199982e+00	-3.212141e-03
1.702513759370640e-06	3.199982e+00	-3.211686e-03
1.708258309680305e-06	3.199982e+00	-3.211642e-03
1.715327777393357e-06	3.199982e+00	-3.212077e-03
1.720678127827171e-06	3.199982e+00	-3.212306e-03
1.728366003785008e-06	3.199982e+00	-3.212005e-03
1.735532531851560e-06	3.199982e+00	-3.211648e-03
1.743211531645577e-06	3.199982e+00	-3.211898e-03
1.750553246469643e-06	3.199982e+00	-3.212310e-03
1.757522734372511e-06	3.199982e+00	-3.212167e-03
1.764923114054494e-06	3.199982e+00	-3.211736e-03
1.771187981585803e-06	3.199982e+00	-3.211768e-03
1.778360702857338e-06	3.199982e+00	-3.212210e-03
1.784011581851678e-06	3.199982e+00	-3.212347e-03
1.791558836301374e-06	3.199982e+00	-3.211979e-03
1.797528067432576e-06	3.199982e+00	-3.211721e-03
1.805424055499797e-06	3.199982e+00	-3.212004e-03
1.813126852127526e-06	3.199982e+00	-3.212371e-03
1.821371394508093e-06	3.199982e+00	-3.212118e-03
1.829190779406828e-06	3.199982e+00	-3.211760e-03
