time	V(out_positive,out_negative)
2.525870658748990e-02	3.190801e+00
2.526870658748990e-02	3.190803e+00
2.527870658748991e-02	3.190801e+00
2.528870658748991e-02	3.190803e+00
2.529870658748990e-02	3.190801e+00
2.530870658748990e-02	3.190803e+00
2.531870658748990e-02	3.190801e+00
2.532870658748990e-02	3.190803e+00
2.533870658748990e-02	3.190801e+00
2.534870658748990e-02	3.190803e+00
2.535870658748991e-02	3.190801e+00
2.536870658748991e-02	3.190803e+00
2.537870658748990e-02	3.190801e+00
2.538870658748990e-02	3.190803e+00
2.539870658748990e-02	3.190801e+00
2.540870658748990e-02	3.190803e+00
2.541870658748990e-02	3.190801e+00
2.542870658748990e-02	3.190803e+00
2.543870658748990e-02	3.190801e+00
2.544870658748991e-02	3.190803e+00
2.545870658748991e-02	3.190801e+00
2.546870658748990e-02	3.190803e+00
2.547870658748990e-02	3.190801e+00
2.548870658748990e-02	3.190803e+00
2.549870658748990e-02	3.190801e+00
2.550870658748990e-02	3.190803e+00
2.551870658748990e-02	3.190801e+00
2.552870658748991e-02	3.190803e+00
2.553870658748991e-02	3.190801e+00
2.554870658748990e-02	3.190803e+00
2.555870658748990e-02	3.190801e+00
2.556870658748990e-02	3.190803e+00
2.557870658748990e-02	3.190801e+00
2.558870658748990e-02	3.190803e+00
2.559870658748990e-02	3.190801e+00
2.560870658748990e-02	3.190803e+00
2.561870658748991e-02	3.190801e+00
2.562870658748991e-02	3.190803e+00
2.563870658748990e-02	3.190801e+00
2.564870658748990e-02	3.190803e+00
2.565870658748990e-02	3.190801e+00
2.566870658748990e-02	3.190803e+00
2.567870658748990e-02	3.190801e+00
2.568870658748990e-02	3.190803e+00
2.569870658748990e-02	3.190801e+00
2.570870658748991e-02	3.190803e+00
2.571870658748990e-02	3.190801e+00
2.572870658748990e-02	3.190803e+00
2.573870658748990e-02	3.190801e+00
2.574870658748990e-02	3.190803e+00
2.575870658748990e-02	3.190801e+00
2.576870658748990e-02	3.190803e+00
2.577870658748990e-02	3.190801e+00
2.578870658748991e-02	3.190803e+00
2.579870658748991e-02	3.190801e+00
2.580870658748990e-02	3.190803e+00
2.581870658748990e-02	3.190801e+00
2.582870658748990e-02	3.190803e+00
2.583870658748990e-02	3.190801e+00
2.584870658748990e-02	3.190803e+00
2.585870658748990e-02	3.190801e+00
2.586870658748990e-02	3.190803e+00
2.587870658748991e-02	3.190801e+00
2.588870658748990e-02	3.190803e+00
2.589870658748990e-02	3.190801e+00
2.590870658748990e-02	3.190803e+00
2.591870658748990e-02	3.190801e+00
2.592870658748990e-02	3.190803e+00
2.593870658748990e-02	3.190801e+00
2.594870658748990e-02	3.190803e+00
2.595870658748991e-02	3.190801e+00
2.596870658748991e-02	3.190803e+00
2.597870658748990e-02	3.190801e+00
2.598870658748990e-02	3.190803e+00
2.599870658748990e-02	3.190801e+00
2.600870658748990e-02	3.190803e+00
2.601870658748990e-02	3.190801e+00
2.602870658748990e-02	3.190803e+00
2.603870658748990e-02	3.190801e+00
2.604870658748991e-02	3.190803e+00
2.605870658748990e-02	3.190801e+00
2.606870658748990e-02	3.190803e+00
2.607870658748990e-02	3.190801e+00
2.608870658748990e-02	3.190803e+00
2.609870658748990e-02	3.190801e+00
2.610870658748990e-02	3.190803e+00
2.611870658748990e-02	3.190801e+00
2.612870658748991e-02	3.190803e+00
2.613870658748991e-02	3.190801e+00
2.614870658748990e-02	3.190803e+00
2.615870658748990e-02	3.190801e+00
2.616870658748990e-02	3.190803e+00
2.617870658748990e-02	3.190801e+00
2.618870658748990e-02	3.190803e+00
2.619870658748990e-02	3.190801e+00
2.620870658748990e-02	3.190803e+00
2.621870658748991e-02	3.190801e+00
2.622870658748990e-02	3.190803e+00
2.623870658748990e-02	3.190801e+00
2.624870658748990e-02	3.190803e+00
2.625870658748990e-02	3.190801e+00
2.626870658748990e-02	3.190803e+00
2.627870658748990e-02	3.190801e+00
2.628870658748990e-02	3.190803e+00
2.629870658748991e-02	3.190801e+00
2.630870658748991e-02	3.190803e+00
2.631870658748990e-02	3.190801e+00
2.632870658748990e-02	3.190803e+00
2.633870658748990e-02	3.190801e+00
2.634870658748990e-02	3.190803e+00
2.635870658748990e-02	3.190801e+00
2.636870658748990e-02	3.190803e+00
2.637870658748990e-02	3.190801e+00
2.638870658748991e-02	3.190803e+00
2.639870658748990e-02	3.190801e+00
2.640870658748990e-02	3.190803e+00
2.641870658748990e-02	3.190801e+00
2.642870658748990e-02	3.190803e+00
2.643870658748990e-02	3.190801e+00
2.644870658748990e-02	3.190803e+00
2.645870658748990e-02	3.190801e+00
2.646870658748991e-02	3.190803e+00
2.647870658748991e-02	3.190801e+00
2.648870658748990e-02	3.190803e+00
2.649870658748990e-02	3.190801e+00
2.650870658748990e-02	3.190803e+00
2.651870658748990e-02	3.190801e+00
2.652870658748990e-02	3.190803e+00
2.653870658748990e-02	3.190801e+00
2.654870658748990e-02	3.190803e+00
2.655870658748991e-02	3.190801e+00
2.656870658748990e-02	3.190803e+00
2.657870658748990e-02	3.190801e+00
2.658870658748990e-02	3.190803e+00
2.659870658748990e-02	3.190801e+00
2.660870658748990e-02	3.190803e+00
2.661870658748990e-02	3.190801e+00
2.662870658748990e-02	3.190803e+00
2.663870658748991e-02	3.190801e+00
2.664870658748991e-02	3.190803e+00
2.665870658748990e-02	3.190801e+00
2.666870658748990e-02	3.190803e+00
2.667870658748990e-02	3.190801e+00
2.668870658748990e-02	3.190803e+00
2.669870658748990e-02	3.190801e+00
2.670870658748990e-02	3.190803e+00
2.671870658748990e-02	3.190801e+00
2.672870658748991e-02	3.190803e+00
2.673870658748990e-02	3.190801e+00
2.674870658748990e-02	3.190803e+00
2.675870658748990e-02	3.190801e+00
2.676870658748990e-02	3.190803e+00
2.677870658748990e-02	3.190801e+00
2.678870658748990e-02	3.190803e+00
2.679870658748990e-02	3.190801e+00
2.680870658748991e-02	3.190803e+00
2.681870658748991e-02	3.190801e+00
2.682870658748990e-02	3.190803e+00
2.683870658748990e-02	3.190801e+00
2.684870658748990e-02	3.190803e+00
2.685870658748990e-02	3.190801e+00
2.686870658748990e-02	3.190803e+00
2.687870658748990e-02	3.190801e+00
2.688870658748990e-02	3.190803e+00
2.689870658748991e-02	3.190801e+00
2.690870658748990e-02	3.190803e+00
2.691870658748990e-02	3.190801e+00
2.692870658748990e-02	3.190803e+00
2.693870658748990e-02	3.190801e+00
2.694870658748990e-02	3.190803e+00
2.695870658748990e-02	3.190801e+00
2.696870658748990e-02	3.190803e+00
2.697870658748990e-02	3.190801e+00
2.698870658748991e-02	3.190803e+00
2.699870658748990e-02	3.190801e+00
2.700870658748990e-02	3.190803e+00
2.701870658748990e-02	3.190801e+00
2.702870658748990e-02	3.190803e+00
2.703870658748990e-02	3.190801e+00
2.704870658748990e-02	3.190803e+00
2.705870658748990e-02	3.190801e+00
2.706870658748991e-02	3.190803e+00
2.707870658748990e-02	3.190801e+00
2.708870658748990e-02	3.190803e+00
2.709870658748990e-02	3.190801e+00
2.710870658748990e-02	3.190803e+00
2.711870658748990e-02	3.190801e+00
2.712870658748990e-02	3.190803e+00
2.713870658748990e-02	3.190801e+00
2.714870658748990e-02	3.190803e+00
2.715870658748991e-02	3.190801e+00
2.716870658748990e-02	3.190803e+00
2.717870658748990e-02	3.190801e+00
