config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
3.0,0.00011064468417267201,17.0376,17.0376,-0.041266102,-0.041266102,4.276299,4.2741117,0.004162950407402935
3.0,0.0001122850683278554,14.392575,14.392575,-0.038507905,-0.038507905,4.217633,4.2156434,0.004193403683799056
3.0,0.0001140702426868863,12.425709,12.425709,-0.036512315,-0.036512315,4.1621623,4.16035,0.004228031846424987
3.0,0.00011628461337087766,10.772513,10.772513,-0.034662973,-0.034662973,4.1016445,4.0999074,0.004267748099699573
3.0,0.00011879376749328222,9.525336,9.525336,-0.033256378,-0.033256378,4.040437,4.038849,0.004313105206153437
3.0,0.00012184351961711203,8.524087,8.524087,-0.031882044,-0.031882044,3.973208,3.9716878,0.004365558377125219
3.0,0.00012544168104218983,7.7499685,7.7499685,-0.030729866,-0.030729866,3.9005492,3.8990884,0.004426476218763108
3.0,0.00012985449988322915,7.1247673,7.1247673,-0.029471463,-0.029471463,3.8176339,3.8165672,0.004491253330143613
3.0,0.00013433337220945124,6.868029,6.868029,-0.028703168,-0.028703168,3.7378488,3.7371173,0.004558584431634253
3.0,0.00013949472721867492,6.597661,6.597661,-0.027725216,-0.027725216,3.6494815,3.6487129,0.004626233080654397
3.0,0.00014449394653216763,6.346999,6.346999,-0.026911102,-0.026911102,3.567014,3.5661123,0.004698505277150064
3.0,0.0001508579481666331,6.0443096,6.0443096,-0.025773583,-0.025773583,3.4663968,3.4650607,0.004783605643682412
3.0,0.00015866402624344203,5.6929345,5.6929345,-0.024554128,-0.024554128,3.3500779,3.3470376,0.0048434591918234855
3.0,0.00016153384551581258,3.245571,3.245571,-0.021270063,-0.021270063,3.3140607,3.311919,0.004866122984495504
3.0,0.00016279376365957546,0.8529234,0.8529234,-0.01832307,-0.01832307,3.3030882,3.3026385,0.00487519116803462
3.0,0.00016319637395813228,0.28717506,0.28717506,-0.017526638,-0.017526638,3.300975,3.3008597,0.004879859490815955
3.0,0.00016365064670034363,-0.2351158,-0.2351158,-0.016831622,-0.016831622,3.2994518,3.2993488,0.004884743951106269
3.0,0.00016409375431369774,-0.63853914,-0.63853914,-0.016185831,-0.016185831,3.2983732,3.2982855,0.004889884456647942
3.0,0.0001645956814786866,-0.9862385,-0.9862385,-0.015653778,-0.015653778,3.2975438,3.2974582,0.004895854418773772
3.0,0.00016519182849877105,-1.2745137,-1.2745137,-0.0150682125,-0.0150682125,3.2969308,3.2968543,0.0049027303780795626
