config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
2.0,0.0004916801548116073,-1.6594259,-1.6594259,0.0029729698,0.0029729698,3.299633,3.299633,0.009339063919633194
2.0,0.0005016801548116073,-1.6587279,-1.6587279,0.0026422131,0.0026422131,3.2996373,3.2996373,0.009447939980327651
2.0,0.0005116801548116074,-1.6591285,-1.6591285,0.0028114836,0.0028114836,3.2996414,3.2996411,0.009556816301792429
2.0,0.0005216801548116074,-1.6584424,-1.6584424,0.0024848094,0.0024848094,3.299645,3.299645,0.009665692865401075
2.0,0.0005316801548116073,-1.6588544,-1.6588544,0.0026580545,0.0026580545,3.2996483,3.299648,0.009774569643213913
2.0,0.0005416801548116073,-1.6581789,-1.6581789,0.0023352809,0.0023352809,3.2996511,3.2996511,0.009883446625917718
2.0,0.0005516801548116074,-1.658601,-1.658601,0.0025123216,0.0025123216,3.299654,3.299654,0.009992323794886036
2.0,0.0005616801548116074,-1.6579353,-1.6579353,0.0021932728,0.0021932728,3.2996566,3.2996564,0.010101201122179194
2.0,0.0005716801548116073,-1.6583664,-1.6583664,0.0023739354,0.0023739354,3.2996588,3.2996588,0.010210078607797188
2.0,0.0005816801548116073,-1.6577091,-1.6577091,0.0020584408,0.0020584408,3.299661,3.299661,0.01031895623311357
2.0,0.0005916801548116074,-1.6581486,-1.6581486,0.0022425572,0.0022425572,3.299663,3.299663,0.010427833998128338
2.0,0.0006016801548116074,-1.6574992,-1.6574992,0.0019304514,0.0019304514,3.299665,3.299665,0.01053671188421504
2.0,0.0006116801548116073,-1.6579461,-1.6579461,0.0021178594,0.0021178594,3.2996666,3.2996666,0.010645589882060451
2.0,0.0006216801548116073,-1.657304,-1.657304,0.0018089829,0.0018089829,3.2996683,3.299668,0.010754467982351346
2.0,0.0006316801548116074,-1.6577576,-1.6577576,0.0019995258,0.0019995258,3.2996695,3.2996697,0.010863346185087724
2.0,0.0006416801548116074,-1.6571221,-1.6571221,0.0016937256,0.0016937256,3.299671,3.299671,0.010972224471643135
2.0,0.0006516801548116073,-1.657582,-1.657582,0.001887253,0.001887253,3.2996724,3.2996721,0.011081102842017576
2.0,0.0006616801548116073,-1.6569525,-1.6569525,0.001584381,0.001584381,3.2996736,3.2996733,0.011189981286897823
2.0,0.0006716801548116073,-1.6574181,-1.6574181,0.0017807483,0.0017807483,3.2996745,3.2996745,0.011298859806283874
2.0,0.0006816801548116074,-1.6567942,-1.6567942,0.001480663,0.001480663,3.2996757,3.2996755,0.011407738390862508
2.0,0.0006916801548116073,-1.657265,-1.657265,0.0016797311,0.0016797311,3.2996767,3.2996764,0.011516617040633722
2.0,0.0007016801548116073,-1.6566463,-1.6566463,0.0013822967,0.0013822967,3.2996774,3.2996774,0.01162549574628429
2.0,0.0007116801548116073,-1.6571217,-1.6571217,0.0015839328,0.0015839328,3.2996783,3.299678,0.011734374507814211
2.0,0.0007216801548116074,-1.6565078,-1.6565078,0.0012890188,0.0012890188,3.2996788,3.2996788,0.011843253315910263
2.0,0.0007316801548116073,-1.6569877,-1.6569877,0.0014930955,0.0014930955,3.2996795,3.2996795,0.011952132170572442
2.0,0.0007416801548116073,-1.6563783,-1.6563783,0.0012005777,0.0012005777,3.2996802,3.2996802,0.012061011071800751
2.0,0.0007516801548116073,-1.6568621,-1.6568621,0.0014069732,0.0014069732,3.2996807,3.299681,0.012169890010281964
2.0,0.0007616801548116074,-1.6562567,-1.6562567,0.0011167323,0.0011167323,3.2996814,3.2996814,0.012278768986016077
2.0,0.0007716801548116073,-1.6567444,-1.6567444,0.0013253302,0.0013253302,3.299682,3.299682,0.012387647989689868
2.0,0.0007816801548116073,-1.6561428,-1.6561428,0.0010372526,0.0010372526,3.2996824,3.2996824,0.012496527030616563
2.0,0.0007916801548116073,-1.6566341,-1.6566341,0.0012479419,0.0012479419,3.2996829,3.2996829,0.012605406099482937
2.0,0.0008016801548116074,-1.6560361,-1.6560361,0.0009619189,0.0009619189,3.2996833,3.2996833,0.012714285196288986
2.0,0.0008116801548116073,-1.6565304,-1.6565304,0.0011745936,0.0011745936,3.2996838,3.2996838,0.012823164330347938
2.0,0.0008216801548116073,-1.6559358,-1.6559358,0.0008905216,0.0008905216,3.299684,3.299684,0.012932043473720116
2.0,0.0008316801548116073,-1.6564331,-1.6564331,0.0011050805,0.0011050805,3.2996845,3.2996845,0.013040922654345198
2.0,0.0008416801548116074,-1.6558416,-1.6558416,0.00082286104,0.00082286104,3.2996848,3.2996848,0.013149801844283503
