Save Time: 2026-07-14 15:23:55,,,
Units:(mV),,,
,CH1,CH2,
Frequency:,2.845 Hz,1.423 Hz,
Period:,351.500 mS,702.667 mS,
SP:,1000.000 uS,1000.000 uS,
PK-PK:,3.600 V,3.440 V,
,,,
300,299000,3360,0
301,300000,3440,0
302,301000,3520,0
303,302000,3520,80
304,303000,3440,0
305,304000,3440,80
306,305000,3440,0
307,306000,3520,80
308,307000,3440,0
309,308000,3440,80
310,309000,3440,0
311,310000,3520,80
312,311000,3440,0
313,312000,3440,0
314,313000,3520,0
315,314000,3520,160
316,315000,3440,0
317,316000,3440,80
318,317000,3360,80
319,318000,3520,80
320,319000,0,0
321,320000,160,80
322,321000,80,80
323,322000,160,80
324,323000,80,80
325,324000,80,80
326,325000,80,0
327,326000,80,80
328,327000,0,0
329,328000,80,0
330,329000,80,80
331,330000,160,80
332,331000,80,0
333,332000,80,0
334,333000,80,0
335,334000,160,160
336,335000,80,0
337,336000,80,80
338,337000,80,80
339,338000,80,80
340,339000,80,0
341,340000,80,0
342,341000,80,0
343,342000,160,80
344,343000,80,0
345,344000,80,80
346,345000,80,80
347,346000,80,80
348,347000,0,0
349,348000,80,80
350,349000,160,80
351,350000,160,80
352,351000,80,0
353,352000,80,0
354,353000,80,80
355,354000,80,80
356,355000,0,0
357,356000,80,0
358,357000,80,0
359,358000,80,80
360,359000,0,0
361,360000,80,80
362,361000,80,80
363,362000,160,80
364,363000,80,0
365,364000,80,80
366,365000,80,0
367,366000,80,80
368,367000,0,0
369,368000,80,80
370,369000,80,0
371,370000,3520,80
372,371000,0,0
373,372000,3360,80
374,373000,3440,0
375,374000,3520,240
376,375000,3440,0
377,376000,3440,0
378,377000,3440,0
379,378000,3520,80
380,379000,3360,0
381,380000,3440,80
382,381000,3440,0
383,382000,3520,80
384,383000,3440,0
385,384000,3520,80
386,385000,3440,80
387,386000,3520,80
388,387000,3360,0
389,388000,3440,0
390,389000,3520,80
391,390000,3520,80
392,391000,3360,0
393,392000,3440,80
394,393000,3520,80
395,394000,3520,160
396,395000,3360,0
397,396000,3360,0
398,397000,3520,80
399,398000,3520,80
400,399000,3440,0
401,400000,3520,0
402,401000,3520,80
403,402000,3520,80
404,403000,3440,0
405,404000,3440,80
406,405000,3520,80
407,406000,3520,80
408,407000,3360,0
409,408000,3440,80
410,409000,3360,80
411,410000,3520,80
412,411000,3360,0
413,412000,3520,80
414,413000,3440,80
415,414000,3440,80
416,415000,80,0
417,416000,80,80
418,417000,80,0
419,418000,160,80
420,419000,80,0
421,420000,80,80
422,421000,80,80
423,422000,160,3280
424,423000,80,0
425,424000,80,3120
426,425000,80,3280
427,426000,160,3280
428,427000,80,3200
429,428000,160,3280
430,429000,80,3280
431,430000,80,3280
432,431000,0,3200
433,432000,80,3280
434,433000,80,3280
435,434000,80,3280
436,435000,0,3200
437,436000,80,3200
438,437000,80,3200
439,438000,160,3280
440,439000,80,3200
441,440000,80,3200
442,441000,80,3280
443,442000,160,3280
444,443000,80,3200
445,444000,80,3280
446,445000,80,3200
447,446000,80,3280
448,447000,0,3200
449,448000,80,3280
450,449000,80,3200
451,450000,80,3280
452,451000,0,3200
453,452000,80,3200
454,453000,0,3280
455,454000,160,3280
456,455000,0,3200
457,456000,80,3200
458,457000,80,3280
459,458000,160,3280
460,459000,80,3200
461,460000,80,3280
462,461000,160,3200
463,462000,160,3280
464,463000,80,3200
465,464000,80,3280
466,465000,80,3280
467,466000,160,3280
468,467000,80,3120
469,468000,160,3200
470,469000,160,3280
471,470000,160,3280
472,471000,0,3200
473,472000,80,3200
474,473000,80,3280
475,474000,160,3280
476,475000,80,3200
477,476000,80,3200
478,477000,80,3280
479,478000,80,3280
480,479000,80,3120
481,480000,80,3280
482,481000,80,3280
483,482000,160,3280
484,483000,80,3200
485,484000,80,3280
486,485000,0,3200
487,486000,240,3280
488,487000,0,3200
489,488000,80,3200
490,489000,80,3200
491,490000,80,3280
492,491000,80,3200
493,492000,80,3200
494,493000,80,3280
495,494000,80,3280
496,495000,0,3200
497,496000,80,3200
498,497000,160,3200
499,498000,160,3280
500,499000,0,3200
501,500000,0,3280
502,501000,80,3200
503,502000,160,3280
504,503000,80,3200
505,504000,80,3200
506,505000,80,3280
507,506000,160,3280
508,507000,0,3200
509,508000,80,3200
510,509000,80,3200
511,510000,80,3280
512,511000,0,3200
513,512000,80,3200
514,513000,80,3280
515,514000,160,3280
516,515000,0,3200
517,516000,0,3200
518,517000,80,3200
519,518000,160,3280
520,519000,80,3200
521,520000,160,3280
522,521000,80,3200
523,522000,80,3280
524,523000,0,3200
525,524000,80,3280
526,525000,80,3280
527,526000,160,3280
528,527000,0,3120
529,528000,80,3280
530,529000,80,3120
531,530000,160,3280
532,531000,0,3120
533,532000,80,3200
534,533000,80,3280
535,534000,160,3280
536,535000,0,3200
537,536000,160,3200
538,537000,80,3200
539,538000,160,3280
540,539000,0,3200
541,540000,80,3200
542,541000,80,3200
543,542000,80,3280
544,543000,0,3200
545,544000,80,3200
546,545000,80,3200
547,546000,80,3280
548,547000,80,3200
549,548000,80,3280
550,549000,80,3280
551,550000,80,3280
552,551000,0,3200
553,552000,80,3280
554,553000,80,3200
555,554000,80,3280
556,555000,0,3200
557,556000,80,3200
558,557000,80,3280
559,558000,160,3280
560,559000,80,3120
