Save Time:,7/14/2026 14:49,,
,,CH1,CH2
Frequency:,,2.845 Hz,2.845 Hz
Period:,,351.500 mS,351.500 mS
SP:,,1000.000 uS,1000.000 uS
PK-PK:,,3.600 V,3.520 V
,,,
Units:(mV),,,
2462,2462000.000us,160,80
2463,2463000.000us,0,0
2464,2464000.000us,160,0
2465,2465000.000us,80,0
2466,2466000.000us,80,80
2467,2467000.000us,0,0
2468,2468000.000us,80,0
2469,2469000.000us,80,80
2470,2470000.000us,160,80
2471,2471000.000us,0,0
2472,2472000.000us,80,80
2473,2473000.000us,80,80
2474,2474000.000us,80,80
2475,2475000.000us,0,0
2476,2476000.000us,80,80
2477,2477000.000us,0,0
2478,2478000.000us,80,3360
2479,2479000.000us,0,0
2480,2480000.000us,80,3360
2481,2481000.000us,80,3360
2482,2482000.000us,3520,3440
2483,2483000.000us,80,0
2484,2484000.000us,3440,0
2485,2485000.000us,3440,80
2486,2486000.000us,3520,80
2487,2487000.000us,3360,0
2488,2488000.000us,3360,0
2489,2489000.000us,3520,80
2490,2490000.000us,3520,80
2491,2491000.000us,3360,0
2492,2492000.000us,3520,80
2493,2493000.000us,3440,80
2494,2494000.000us,3440,80
2495,2495000.000us,3360,0
2496,2496000.000us,3440,80
2497,2497000.000us,3440,80
2498,2498000.000us,3520,80
2499,2499000.000us,3360,0
2500,2500000.000us,3440,0
2501,2501000.000us,3440,80
2502,2502000.000us,3520,80
2503,2503000.000us,3440,0
2504,2504000.000us,3440,80
2505,2505000.000us,3440,0
2506,2506000.000us,3520,160
2507,2507000.000us,3360,0
2508,2508000.000us,3440,80
2509,2509000.000us,3440,80
2510,2510000.000us,3440,80
2511,2511000.000us,3360,0
2512,2512000.000us,3440,0
2513,2513000.000us,3440,-80
2514,2514000.000us,3440,80
2515,2515000.000us,3440,-80
2516,2516000.000us,3440,80
2517,2517000.000us,3440,80
2518,2518000.000us,3520,80
2519,2519000.000us,3440,0
2520,2520000.000us,3440,80
2521,2521000.000us,3440,0
