time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
3.468868925202344e-04	5.611480e-06
3.538525451194676e-04	5.617519e-06
3.590779635910137e-04	5.635480e-06
3.634476675558906e-04	5.657677e-06
3.685241391351350e-04	5.689112e-06
3.734154334624806e-04	5.722803e-06
3.770286960822350e-04	5.749037e-06
3.797256843290804e-04	5.768994e-06
3.825257433841044e-04	5.789757e-06
3.854415131665788e-04	5.811244e-06
3.883069097693489e-04	5.832094e-06
3.916307884240156e-04	5.855838e-06
3.954611410310220e-04	5.882501e-06
4.002453033723034e-04	5.914610e-06
4.063793968685851e-04	5.953638e-06
4.149780348670362e-04	6.004384e-06
4.249780348670361e-04	6.057890e-06
4.349780348670362e-04	6.105297e-06
4.449780348670361e-04	6.146462e-06
4.549780348670362e-04	6.181535e-06
4.649780348670361e-04	6.210782e-06
4.749780348670362e-04	6.234539e-06
4.849780348670361e-04	6.253161e-06
4.949780348670361e-04	6.267012e-06
5.049780348670361e-04	6.276451e-06
5.149780348670362e-04	6.281821e-06
5.249780348670362e-04	6.283452e-06
5.349780348670361e-04	6.281657e-06
5.449780348670361e-04	6.276724e-06
5.549780348670361e-04	6.268926e-06
5.649780348670362e-04	6.258514e-06
5.749780348670361e-04	6.245725e-06
5.849780348670361e-04	6.230775e-06
5.949780348670361e-04	6.213867e-06
6.049780348670362e-04	6.195187e-06
6.149780348670361e-04	6.174912e-06
6.249780348670361e-04	6.153203e-06
6.349780348670361e-04	6.130213e-06
6.449780348670362e-04	6.106081e-06
6.549780348670361e-04	6.080941e-06
6.649780348670361e-04	6.054915e-06
6.749780348670361e-04	6.028118e-06
6.849780348670362e-04	6.000658e-06
6.949780348670361e-04	5.972636e-06
7.049780348670361e-04	5.944146e-06
7.149780348670361e-04	5.915274e-06
7.249780348670362e-04	5.886103e-06
7.349780348670361e-04	5.856707e-06
7.449780348670361e-04	5.827157e-06
7.549780348670361e-04	5.797518e-06
7.649780348670362e-04	5.767849e-06
7.749780348670361e-04	5.738205e-06
7.849780348670361e-04	5.708636e-06
7.949780348670361e-04	5.679188e-06
8.049780348670362e-04	5.649903e-06
8.149780348670361e-04	5.620700e-06
8.249780348670361e-04	5.591159e-06
8.349780348670361e-04	5.560808e-06
8.449780348670362e-04	5.529636e-06
8.549780348670361e-04	5.497934e-06
8.649780348670361e-04	5.465964e-06
8.749780348670361e-04	5.433933e-06
8.849780348670361e-04	5.402004e-06
8.949780348670361e-04	5.370307e-06
9.049780348670361e-04	5.338943e-06
9.149780348670361e-04	5.307993e-06
9.249780348670361e-04	5.277521e-06
9.349780348670361e-04	5.247577e-06
9.449780348670361e-04	5.218198e-06
9.549780348670361e-04	5.189413e-06
9.649780348670361e-04	5.161243e-06
9.749780348670361e-04	5.133702e-06
9.849780348670362e-04	5.106799e-06
9.949780348670360e-04	5.080538e-06
1.004978034867036e-03	5.054919e-06
1.014978034867036e-03	5.029941e-06
1.024978034867036e-03	5.005597e-06
1.034978034867036e-03	4.981881e-06
1.044978034867036e-03	4.958783e-06
1.054978034867036e-03	4.936294e-06
1.064978034867036e-03	4.914401e-06
1.074978034867036e-03	4.893093e-06
1.084978034867036e-03	4.872357e-06
1.094978034867036e-03	4.852180e-06
1.104978034867036e-03	4.832547e-06
1.114978034867036e-03	4.813445e-06
1.124978034867036e-03	4.794860e-06
1.134978034867036e-03	4.776778e-06
1.144978034867036e-03	4.759186e-06
1.154978034867036e-03	4.742069e-06
1.164978034867036e-03	4.725413e-06
1.174978034867036e-03	4.709207e-06
1.184978034867036e-03	4.693436e-06
1.194978034867036e-03	4.678088e-06
1.204978034867036e-03	4.663151e-06
1.214978034867036e-03	4.648612e-06
1.224978034867036e-03	4.634458e-06
1.234978034867036e-03	4.620680e-06
1.244978034867036e-03	4.607265e-06
1.254978034867036e-03	4.594203e-06
1.264978034867036e-03	4.581483e-06
1.274978034867036e-03	4.569095e-06
1.284978034867036e-03	4.557029e-06
1.294978034867036e-03	4.545275e-06
1.304978034867036e-03	4.533824e-06
1.314978034867036e-03	4.522668e-06
1.324978034867036e-03	4.511797e-06
1.334978034867036e-03	4.501203e-06
1.344978034867036e-03	4.490877e-06
1.354978034867036e-03	4.480813e-06
1.364978034867036e-03	4.471003e-06
1.374978034867036e-03	4.461438e-06
1.384978034867036e-03	4.452113e-06
1.394978034867036e-03	4.443021e-06
1.404978034867036e-03	4.434153e-06
1.414978034867036e-03	4.425506e-06
1.424978034867036e-03	4.417071e-06
1.434978034867036e-03	4.408843e-06
1.444978034867036e-03	4.400817e-06
1.454978034867036e-03	4.392986e-06
1.464978034867036e-03	4.385346e-06
1.474978034867036e-03	4.377891e-06
1.484978034867036e-03	4.370617e-06
1.494978034867036e-03	4.363518e-06
1.504978034867036e-03	4.356589e-06
1.514978034867036e-03	4.349826e-06
1.524978034867036e-03	4.343225e-06
1.534978034867036e-03	4.336780e-06
1.544978034867036e-03	4.330489e-06
1.554978034867036e-03	4.324347e-06
1.564978034867036e-03	4.318350e-06
1.574978034867036e-03	4.312495e-06
1.584978034867036e-03	4.306778e-06
1.594978034867036e-03	4.301194e-06
1.604978034867036e-03	4.295741e-06
1.614978034867036e-03	4.290416e-06
1.624978034867036e-03	4.285215e-06
1.634978034867036e-03	4.280135e-06
1.644978034867036e-03	4.275173e-06
1.654978034867036e-03	4.270325e-06
1.664978034867036e-03	4.265591e-06
1.674978034867036e-03	4.260965e-06
1.684978034867036e-03	4.256446e-06
1.694978034867036e-03	4.252031e-06
1.704978034867036e-03	4.247717e-06
1.714978034867036e-03	4.243502e-06
1.724978034867036e-03	4.239384e-06
1.734978034867036e-03	4.235360e-06
1.744978034867036e-03	4.231428e-06
1.754978034867036e-03	4.227586e-06
1.764978034867036e-03	4.223831e-06
1.774978034867036e-03	4.220161e-06
1.784978034867036e-03	4.216575e-06
1.794978034867036e-03	4.213070e-06
1.804978034867036e-03	4.209645e-06
1.814978034867036e-03	4.206297e-06
1.824978034867036e-03	4.203025e-06
1.834978034867036e-03	4.199827e-06
1.844978034867036e-03	4.196701e-06
1.854978034867036e-03	4.193646e-06
1.864978034867036e-03	4.190659e-06
1.874978034867036e-03	4.187739e-06
1.884978034867036e-03	4.184885e-06
1.894978034867036e-03	4.182095e-06
1.904978034867036e-03	4.179368e-06
1.914978034867036e-03	4.176702e-06
1.924978034867036e-03	4.174095e-06
1.934978034867036e-03	4.171548e-06
1.944978034867036e-03	4.169056e-06
1.954978034867036e-03	4.166621e-06
1.964978034867036e-03	4.164240e-06
1.974978034867036e-03	4.161912e-06
1.984978034867036e-03	4.159636e-06
1.994978034867036e-03	4.157411e-06
2.004978034867036e-03	4.155236e-06
2.014978034867036e-03	4.153108e-06
2.024978034867036e-03	4.151028e-06
2.034978034867036e-03	4.148995e-06
2.044978034867036e-03	4.147007e-06
2.054978034867036e-03	4.145063e-06
2.064978034867036e-03	4.143161e-06
2.074978034867036e-03	4.141303e-06
2.084978034867036e-03	4.139485e-06
2.094978034867036e-03	4.137708e-06
2.104978034867036e-03	4.135970e-06
2.114978034867036e-03	4.134271e-06
2.124978034867036e-03	4.132609e-06
2.134978034867036e-03	4.130984e-06
2.144978034867036e-03	4.129395e-06
2.154978034867036e-03	4.127842e-06
2.164978034867036e-03	4.126322e-06
2.174978034867036e-03	4.124836e-06
2.184978034867036e-03	4.123383e-06
2.194978034867036e-03	4.121962e-06
2.204978034867036e-03	4.120573e-06
2.214978034867036e-03	4.119214e-06
2.224978034867036e-03	4.117885e-06
2.234978034867036e-03	4.116585e-06
2.244978034867036e-03	4.115314e-06
2.254978034867036e-03	4.114072e-06
2.264978034867036e-03	4.112856e-06
2.274978034867036e-03	4.111667e-06
2.284978034867036e-03	4.110505e-06
2.294978034867036e-03	4.109368e-06
2.304978034867036e-03	4.108256e-06
2.314978034867036e-03	4.107168e-06
2.324978034867036e-03	4.106105e-06
2.334978034867036e-03	4.105065e-06
2.344978034867036e-03	4.104048e-06
2.354978034867036e-03	4.103053e-06
2.364978034867036e-03	4.102080e-06
2.374978034867036e-03	4.101128e-06
2.384978034867036e-03	4.100198e-06
2.394978034867036e-03	4.099287e-06
2.404978034867036e-03	4.098397e-06
2.414978034867036e-03	4.097526e-06
2.424978034867036e-03	4.096675e-06
2.434978034867036e-03	4.095842e-06
2.444978034867036e-03	4.095027e-06
2.454978034867036e-03	4.094230e-06
2.464978034867036e-03	4.093451e-06
2.474978034867036e-03	4.092689e-06
2.484978034867036e-03	4.091943e-06
2.494978034867036e-03	4.091214e-06
2.504978034867036e-03	4.090501e-06
2.514978034867036e-03	4.089803e-06
2.524978034867036e-03	4.089121e-06
2.534978034867036e-03	4.088454e-06
2.544978034867036e-03	4.087801e-06
2.554978034867036e-03	4.087163e-06
2.564978034867036e-03	4.086539e-06
2.574978034867036e-03	4.085928e-06
2.584978034867036e-03	4.085331e-06
2.594978034867036e-03	4.084746e-06
2.604978034867036e-03	4.084175e-06
2.614978034867036e-03	4.083616e-06
2.624978034867036e-03	4.083069e-06
2.634978034867036e-03	4.082534e-06
2.644978034867036e-03	4.082011e-06
2.654978034867036e-03	4.081499e-06
2.664978034867036e-03	4.080999e-06
2.674978034867036e-03	4.080509e-06
2.684978034867036e-03	4.080030e-06
2.694978034867036e-03	4.079562e-06
2.704978034867036e-03	4.079104e-06
2.714978034867036e-03	4.078655e-06
2.724978034867036e-03	4.078217e-06
2.734978034867036e-03	4.077788e-06
2.744978034867036e-03	4.077368e-06
2.754978034867036e-03	4.076958e-06
2.764978034867036e-03	4.076557e-06
2.774978034867036e-03	4.076164e-06
2.784978034867036e-03	4.075780e-06
2.794978034867036e-03	4.075405e-06
2.804978034867036e-03	4.075037e-06
2.814978034867036e-03	4.074677e-06
2.824978034867036e-03	4.074326e-06
2.834978034867036e-03	4.073982e-06
2.844978034867036e-03	4.073645e-06
2.854978034867036e-03	4.073316e-06
2.864978034867036e-03	4.072994e-06
2.874978034867036e-03	4.072679e-06
2.884978034867036e-03	4.072371e-06
2.894978034867036e-03	4.072070e-06
2.904978034867036e-03	4.071775e-06
2.914978034867036e-03	4.071486e-06
2.924978034867036e-03	4.071204e-06
2.934978034867036e-03	4.070928e-06
2.944978034867036e-03	4.070658e-06
2.954978034867036e-03	4.070394e-06
2.964978034867036e-03	4.070136e-06
2.974978034867036e-03	4.069882e-06
2.984978034867036e-03	4.069635e-06
2.994978034867036e-03	4.069394e-06
3.004978034867036e-03	4.069157e-06
