time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
2.471901881688725e-03	3.189317e+00	-3.189382e-01
2.481901881688725e-03	3.189317e+00	-3.189371e-01
2.491901881688725e-03	3.189317e+00	-3.189382e-01
2.501901881688725e-03	3.189317e+00	-3.189371e-01
2.511901881688725e-03	3.189317e+00	-3.189382e-01
2.521901881688725e-03	3.189317e+00	-3.189371e-01
2.531901881688725e-03	3.189317e+00	-3.189382e-01
2.541901881688725e-03	3.189317e+00	-3.189371e-01
2.551901881688725e-03	3.189317e+00	-3.189382e-01
2.561901881688725e-03	3.189317e+00	-3.189371e-01
2.571901881688725e-03	3.189317e+00	-3.189382e-01
2.581901881688725e-03	3.189317e+00	-3.189371e-01
2.591901881688725e-03	3.189317e+00	-3.189382e-01
2.601901881688725e-03	3.189317e+00	-3.189371e-01
2.611901881688725e-03	3.189317e+00	-3.189382e-01
2.621901881688725e-03	3.189317e+00	-3.189371e-01
2.631901881688725e-03	3.189317e+00	-3.189382e-01
2.641901881688725e-03	3.189317e+00	-3.189371e-01
2.651901881688725e-03	3.189317e+00	-3.189382e-01
2.661901881688725e-03	3.189317e+00	-3.189371e-01
2.671901881688725e-03	3.189317e+00	-3.189382e-01
2.681901881688725e-03	3.189317e+00	-3.189371e-01
2.691901881688725e-03	3.189317e+00	-3.189382e-01
2.701901881688725e-03	3.189317e+00	-3.189371e-01
2.711901881688725e-03	3.189317e+00	-3.189382e-01
2.721901881688725e-03	3.189317e+00	-3.189371e-01
2.731901881688725e-03	3.189317e+00	-3.189382e-01
2.741901881688725e-03	3.189317e+00	-3.189371e-01
2.751901881688725e-03	3.189317e+00	-3.189382e-01
2.761901881688725e-03	3.189317e+00	-3.189371e-01
2.771901881688725e-03	3.189317e+00	-3.189382e-01
2.781901881688725e-03	3.189317e+00	-3.189371e-01
2.791901881688725e-03	3.189317e+00	-3.189382e-01
2.801901881688725e-03	3.189317e+00	-3.189371e-01
2.811901881688725e-03	3.189317e+00	-3.189382e-01
2.821901881688725e-03	3.189317e+00	-3.189371e-01
2.831901881688725e-03	3.189317e+00	-3.189382e-01
2.841901881688725e-03	3.189317e+00	-3.189371e-01
2.851901881688725e-03	3.189317e+00	-3.189382e-01
2.861901881688725e-03	3.189317e+00	-3.189371e-01
2.871901881688725e-03	3.189317e+00	-3.189382e-01
2.881901881688725e-03	3.189317e+00	-3.189371e-01
2.891901881688725e-03	3.189317e+00	-3.189382e-01
2.901901881688725e-03	3.189317e+00	-3.189371e-01
2.911901881688725e-03	3.189317e+00	-3.189382e-01
2.921901881688725e-03	3.189317e+00	-3.189371e-01
2.931901881688725e-03	3.189317e+00	-3.189382e-01
2.941901881688725e-03	3.189317e+00	-3.189371e-01
2.951901881688725e-03	3.189317e+00	-3.189382e-01
2.961901881688725e-03	3.189317e+00	-3.189371e-01
2.971901881688725e-03	3.189317e+00	-3.189382e-01
2.981901881688725e-03	3.189317e+00	-3.189371e-01
2.991901881688725e-03	3.189317e+00	-3.189382e-01
3.001901881688725e-03	3.189317e+00	-3.189371e-01
3.011901881688725e-03	3.189317e+00	-3.189382e-01
3.021901881688725e-03	3.189317e+00	-3.189371e-01
3.031901881688725e-03	3.189317e+00	-3.189382e-01
3.041901881688725e-03	3.189317e+00	-3.189371e-01
3.051901881688725e-03	3.189317e+00	-3.189382e-01
3.061901881688725e-03	3.189317e+00	-3.189371e-01
3.071901881688725e-03	3.189317e+00	-3.189382e-01
3.081901881688725e-03	3.189317e+00	-3.189371e-01
3.091901881688725e-03	3.189317e+00	-3.189382e-01
3.101901881688725e-03	3.189317e+00	-3.189371e-01
3.111901881688725e-03	3.189317e+00	-3.189382e-01
3.121901881688725e-03	3.189317e+00	-3.189371e-01
3.131901881688725e-03	3.189317e+00	-3.189382e-01
3.141901881688725e-03	3.189317e+00	-3.189371e-01
3.151901881688725e-03	3.189317e+00	-3.189382e-01
3.161901881688725e-03	3.189317e+00	-3.189371e-01
3.171901881688725e-03	3.189317e+00	-3.189382e-01
3.181901881688725e-03	3.189317e+00	-3.189371e-01
3.191901881688725e-03	3.189317e+00	-3.189382e-01
3.201901881688725e-03	3.189317e+00	-3.189371e-01
3.211901881688725e-03	3.189317e+00	-3.189382e-01
3.221901881688725e-03	3.189317e+00	-3.189371e-01
3.231901881688725e-03	3.189317e+00	-3.189382e-01
3.241901881688725e-03	3.189317e+00	-3.189371e-01
3.251901881688725e-03	3.189317e+00	-3.189382e-01
3.261901881688725e-03	3.189317e+00	-3.189371e-01
3.271901881688725e-03	3.189317e+00	-3.189382e-01
3.281901881688725e-03	3.189317e+00	-3.189371e-01
3.291901881688725e-03	3.189317e+00	-3.189382e-01
3.301901881688725e-03	3.189317e+00	-3.189371e-01
3.311901881688725e-03	3.189317e+00	-3.189382e-01
3.321901881688725e-03	3.189317e+00	-3.189371e-01
3.331901881688725e-03	3.189317e+00	-3.189382e-01
3.341901881688725e-03	3.189317e+00	-3.189371e-01
3.351901881688725e-03	3.189317e+00	-3.189382e-01
3.361901881688725e-03	3.189317e+00	-3.189371e-01
3.371901881688725e-03	3.189317e+00	-3.189382e-01
3.381901881688725e-03	3.189317e+00	-3.189371e-01
3.391901881688725e-03	3.189317e+00	-3.189382e-01
3.401901881688725e-03	3.189317e+00	-3.189371e-01
3.411901881688725e-03	3.189317e+00	-3.189382e-01
3.421901881688725e-03	3.189317e+00	-3.189371e-01
3.431901881688725e-03	3.189317e+00	-3.189382e-01
3.441901881688725e-03	3.189317e+00	-3.189371e-01
3.451901881688725e-03	3.189317e+00	-3.189382e-01
3.461901881688725e-03	3.189317e+00	-3.189371e-01
3.471901881688725e-03	3.189317e+00	-3.189382e-01
3.481901881688725e-03	3.189317e+00	-3.189371e-01
3.491901881688725e-03	3.189317e+00	-3.189382e-01
3.501901881688725e-03	3.189317e+00	-3.189371e-01
3.511901881688725e-03	3.189317e+00	-3.189382e-01
3.521901881688725e-03	3.189317e+00	-3.189371e-01
3.531901881688725e-03	3.189317e+00	-3.189382e-01
3.541901881688725e-03	3.189317e+00	-3.189371e-01
3.551901881688725e-03	3.189317e+00	-3.189382e-01
3.561901881688725e-03	3.189317e+00	-3.189371e-01
3.571901881688725e-03	3.189317e+00	-3.189382e-01
3.581901881688725e-03	3.189317e+00	-3.189371e-01
3.591901881688725e-03	3.189317e+00	-3.189382e-01
3.601901881688725e-03	3.189317e+00	-3.189371e-01
3.611901881688725e-03	3.189317e+00	-3.189382e-01
3.621901881688725e-03	3.189317e+00	-3.189371e-01
3.631901881688725e-03	3.189317e+00	-3.189382e-01
3.641901881688725e-03	3.189317e+00	-3.189371e-01
3.651901881688725e-03	3.189317e+00	-3.189382e-01
3.661901881688725e-03	3.189317e+00	-3.189371e-01
3.671901881688725e-03	3.189317e+00	-3.189382e-01
3.681901881688725e-03	3.189317e+00	-3.189371e-01
3.691901881688725e-03	3.189317e+00	-3.189382e-01
3.701901881688725e-03	3.189317e+00	-3.189371e-01
3.711901881688725e-03	3.189317e+00	-3.189382e-01
3.721901881688725e-03	3.189317e+00	-3.189371e-01
