time	V(out_pos,out_1)	I(Vcell22)
Step Information: Rtierra=1K  (Step: 1/3)
3.555771684168076e-03	-2.612567e-02	-6.834829e-07
3.565771684168076e-03	-2.612567e-02	1.629944e-07
3.575771684168077e-03	-2.612567e-02	-6.834377e-07
3.585771684168077e-03	-2.612591e-02	1.629210e-07
3.595771684168077e-03	-2.612591e-02	-6.833916e-07
3.605771684168076e-03	-2.612591e-02	1.628482e-07
3.615771684168076e-03	-2.612567e-02	-6.833449e-07
3.625771684168076e-03	-2.612567e-02	1.627762e-07
3.635771684168076e-03	-2.612567e-02	-6.832976e-07
3.645771684168076e-03	-2.612567e-02	1.627048e-07
3.655771684168076e-03	-2.612543e-02	-6.832495e-07
3.665771684168076e-03	-2.612543e-02	1.626341e-07
3.675771684168076e-03	-2.612543e-02	-6.832009e-07
3.685771684168076e-03	-2.612543e-02	1.625640e-07
3.695771684168076e-03	-2.612543e-02	-6.831517e-07
3.705771684168076e-03	-2.612543e-02	1.624944e-07
3.715771684168076e-03	-2.612543e-02	-6.831020e-07
3.725771684168076e-03	-2.612543e-02	1.624254e-07
3.735771684168077e-03	-2.612543e-02	-6.830518e-07
3.745771684168077e-03	-2.612543e-02	1.623568e-07
3.755771684168077e-03	-2.612543e-02	-6.830011e-07
3.765771684168076e-03	-2.612543e-02	1.622888e-07
3.775771684168076e-03	-2.612543e-02	-6.829499e-07
3.785771684168076e-03	-2.612543e-02	1.622212e-07
3.795771684168076e-03	-2.612543e-02	-6.828983e-07
3.805771684168076e-03	-2.612543e-02	1.621541e-07
3.815771684168076e-03	-2.612543e-02	-6.828463e-07
3.825771684168076e-03	-2.612543e-02	1.620873e-07
3.835771684168076e-03	-2.612543e-02	-6.827939e-07
3.845771684168076e-03	-2.612543e-02	1.620209e-07
3.855771684168076e-03	-2.612543e-02	-6.827412e-07
3.865771684168076e-03	-2.612543e-02	1.619549e-07
3.875771684168076e-03	-2.612543e-02	-6.826881e-07
