time	I(R1)
Step Information: Rtierra=1K  (Step: 1/3)
1.844038390393885e-02	3.781711e-06
1.845038390393885e-02	3.781711e-06
1.846038390393885e-02	3.781711e-06
1.847038390393885e-02	3.781711e-06
1.848038390393885e-02	3.781711e-06
1.849038390393885e-02	3.781711e-06
1.850038390393885e-02	3.781711e-06
1.851038390393885e-02	3.781711e-06
1.852038390393885e-02	3.781711e-06
1.853038390393885e-02	3.781711e-06
1.854038390393885e-02	3.781711e-06
1.855038390393885e-02	3.781711e-06
1.856038390393885e-02	3.781711e-06
1.857038390393885e-02	3.781711e-06
1.858038390393885e-02	3.781711e-06
1.859038390393885e-02	3.781711e-06
1.860038390393885e-02	3.781711e-06
1.861038390393885e-02	3.781711e-06
1.862038390393885e-02	3.781711e-06
1.863038390393885e-02	3.781711e-06
1.864038390393885e-02	3.781711e-06
1.865038390393885e-02	3.781711e-06
1.866038390393885e-02	3.781711e-06
1.867038390393885e-02	3.781711e-06
1.868038390393885e-02	3.781711e-06
1.869038390393885e-02	3.781711e-06
1.870038390393885e-02	3.781711e-06
1.871038390393885e-02	3.781711e-06
1.872038390393885e-02	3.781711e-06
1.873038390393885e-02	3.781711e-06
1.874038390393885e-02	3.781711e-06
1.875038390393885e-02	3.781711e-06
1.876038390393885e-02	3.781711e-06
1.877038390393885e-02	3.781711e-06
1.878038390393885e-02	3.781711e-06
1.879038390393885e-02	3.781711e-06
1.880038390393885e-02	3.781711e-06
1.881038390393885e-02	3.781711e-06
1.882038390393885e-02	3.781711e-06
1.883038390393885e-02	3.781711e-06
1.884038390393885e-02	3.781711e-06
1.885038390393885e-02	3.781711e-06
1.886038390393885e-02	3.781711e-06
1.887038390393885e-02	3.781711e-06
1.888038390393885e-02	3.781711e-06
1.889038390393885e-02	3.781711e-06
1.890038390393885e-02	3.781711e-06
1.891038390393885e-02	3.781711e-06
1.892038390393885e-02	3.781711e-06
1.893038390393885e-02	3.781711e-06
1.894038390393885e-02	3.781711e-06
1.895038390393885e-02	3.781711e-06
1.896038390393885e-02	3.781711e-06
1.897038390393885e-02	3.781711e-06
1.898038390393885e-02	3.781711e-06
1.899038390393885e-02	3.781711e-06
1.900038390393885e-02	3.781711e-06
1.901038390393885e-02	3.781711e-06
1.902038390393885e-02	3.781711e-06
1.903038390393885e-02	3.781711e-06
1.904038390393885e-02	3.781711e-06
1.905038390393885e-02	3.781711e-06
1.906038390393885e-02	3.781711e-06
1.907038390393885e-02	3.781711e-06
1.908038390393885e-02	3.781711e-06
1.909038390393885e-02	3.781711e-06
1.910038390393885e-02	3.781711e-06
1.911038390393885e-02	3.781711e-06
1.912038390393885e-02	3.781711e-06
1.913038390393885e-02	3.781711e-06
1.914038390393885e-02	3.781711e-06
1.915038390393885e-02	3.781711e-06
1.916038390393885e-02	3.781711e-06
1.917038390393885e-02	3.781711e-06
1.918038390393885e-02	3.781711e-06
1.919038390393885e-02	3.781711e-06
1.920038390393885e-02	3.781711e-06
1.921038390393885e-02	3.781711e-06
1.922038390393885e-02	3.781711e-06
1.923038390393885e-02	3.781711e-06
1.924038390393885e-02	3.781711e-06
1.925038390393885e-02	3.781711e-06
1.926038390393885e-02	3.781711e-06
1.927038390393885e-02	3.781711e-06
1.928038390393885e-02	3.781711e-06
1.929038390393885e-02	3.781711e-06
1.930038390393885e-02	3.781711e-06
1.931038390393885e-02	3.781711e-06
1.932038390393885e-02	3.781711e-06
1.933038390393885e-02	3.781711e-06
1.934038390393885e-02	3.781711e-06
1.935038390393885e-02	3.781711e-06
1.936038390393885e-02	3.781711e-06
1.937038390393885e-02	3.781711e-06
1.938038390393885e-02	3.781711e-06
1.939038390393885e-02	3.781711e-06
1.940038390393885e-02	3.781711e-06
1.941038390393885e-02	3.781711e-06
1.942038390393885e-02	3.781711e-06
