time	V(N024,N004)	V(N027,N006)
1.000926996023693e-03	2.384186e-07	-6.000304e-02
1.010926996023693e-03	-2.384186e-07	-5.844831e-02
1.020926996023693e-03	2.384186e-07	-5.693293e-02
1.030926996023693e-03	-2.384186e-07	-5.545783e-02
1.040926996023693e-03	2.384186e-07	-5.401969e-02
1.050926996023693e-03	-2.384186e-07	-5.262017e-02
1.060926996023693e-03	2.384186e-07	-5.125570e-02
1.070926996023693e-03	-2.384186e-07	-4.992771e-02
1.080926996023693e-03	2.384186e-07	-4.863286e-02
1.090926996023693e-03	-2.384186e-07	-4.737282e-02
1.100926996023693e-03	2.384186e-07	-4.614425e-02
1.110926996023693e-03	-2.384186e-07	-4.494858e-02
1.120926996023693e-03	2.384186e-07	-4.378295e-02
1.130926996023693e-03	-2.384186e-07	-4.264855e-02
1.140926996023693e-03	2.384186e-07	-4.154229e-02
1.150926996023693e-03	-2.384186e-07	-4.046583e-02
1.160926996023693e-03	2.384186e-07	-3.941655e-02
1.170926996023693e-03	-2.384186e-07	-3.839517e-02
1.180926996023693e-03	2.384186e-07	-3.739929e-02
1.190926996023693e-03	-2.384186e-07	-3.643012e-02
1.200926996023693e-03	2.384186e-07	-3.548527e-02
1.210926996023693e-03	-2.384186e-07	-3.456569e-02
1.220926996023693e-03	2.384186e-07	-3.366923e-02
1.230926996023693e-03	-2.384186e-07	-3.279662e-02
1.240926996023693e-03	2.384186e-07	-3.194594e-02
1.250926996023693e-03	-2.384186e-07	-3.111815e-02
1.260926996023693e-03	2.384186e-07	-3.031111e-02
1.270926996023693e-03	-2.384186e-07	-2.952576e-02
1.280926996023693e-03	2.384186e-07	-2.875972e-02
1.290926996023693e-03	-2.384186e-07	-2.801466e-02
1.300926996023693e-03	2.384186e-07	-2.728772e-02
1.310926996023693e-03	-2.384186e-07	-2.658081e-02
1.320926996023693e-03	2.384186e-07	-2.589107e-02
1.330926996023693e-03	-2.384186e-07	-2.522039e-02
1.340926996023693e-03	2.384186e-07	-2.456594e-02
1.350926996023693e-03	-2.384186e-07	-2.392960e-02
1.360926996023693e-03	2.384186e-07	-2.330852e-02
1.370926996023693e-03	-2.384186e-07	-2.270484e-02
1.380926996023693e-03	2.384186e-07	-2.211571e-02
1.390926996023693e-03	-2.384186e-07	-2.154279e-02
1.400926996023693e-03	2.384186e-07	-2.098370e-02
1.410926996023693e-03	-2.384186e-07	-2.044034e-02
1.420926996023693e-03	2.384186e-07	-1.990962e-02
1.430926996023693e-03	-2.384186e-07	-1.939392e-02
1.440926996023693e-03	2.384186e-07	-1.889062e-02
1.450926996023693e-03	-2.384186e-07	-1.840138e-02
1.460926996023693e-03	2.384186e-07	-1.792383e-02
1.470926996023693e-03	-2.384186e-07	-1.745963e-02
1.480926996023693e-03	2.384186e-07	-1.700640e-02
1.490926996023693e-03	-2.384186e-07	-1.656604e-02
1.500926996023693e-03	2.384186e-07	-1.613593e-02
1.510926996023693e-03	-2.384186e-07	-1.571798e-02
1.520926996023693e-03	2.384186e-07	-1.531005e-02
1.530926996023693e-03	-2.384186e-07	-1.491356e-02
1.540926996023693e-03	2.384186e-07	-1.452637e-02
1.550926996023693e-03	-2.384186e-07	-1.415014e-02
1.560926996023693e-03	2.384186e-07	-1.378274e-02
1.570926996023693e-03	-2.384186e-07	-1.342607e-02
1.580926996023693e-03	2.384186e-07	-1.307750e-02
1.590926996023693e-03	-2.384186e-07	-1.273894e-02
1.600926996023693e-03	2.384186e-07	-1.240802e-02
1.610926996023693e-03	-2.384186e-07	-1.208687e-02
1.620926996023693e-03	2.384186e-07	-1.177311e-02
1.630926996023693e-03	-2.384186e-07	-1.146817e-02
1.640926996023693e-03	2.384186e-07	-1.117039e-02
1.650926996023693e-03	-2.384186e-07	-1.088119e-02
1.660926996023693e-03	2.384186e-07	-1.059866e-02
1.670926996023693e-03	-2.384186e-07	-1.032448e-02
1.680926996023693e-03	2.384186e-07	-1.005626e-02
1.690926996023693e-03	-2.384186e-07	-9.796143e-03
1.700926996023693e-03	2.384186e-07	-9.541512e-03
