time	Ix(M3:D)
1.424677720200402e-02	-7.883115e-06
1.425677720200402e-02	-7.883127e-06
1.426677720200402e-02	-7.883139e-06
1.427677720200402e-02	-7.883149e-06
1.428677720200402e-02	-7.883160e-06
1.429677720200402e-02	-7.883170e-06
1.430677720200402e-02	-7.883180e-06
1.431677720200402e-02	-7.883189e-06
1.432677720200402e-02	-7.883198e-06
1.433677720200402e-02	-7.883206e-06
1.434677720200402e-02	-7.883214e-06
1.435677720200402e-02	-7.883222e-06
1.436677720200401e-02	-7.883230e-06
1.437677720200402e-02	-7.883237e-06
1.438677720200402e-02	-7.883245e-06
1.439677720200402e-02	-7.883251e-06
1.440677720200402e-02	-7.883258e-06
1.441677720200402e-02	-7.883265e-06
1.442677720200402e-02	-7.883271e-06
