time	V(out_1,N084)	V(out_2,out_1)	V(out_pos,N024)
3.359524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.369524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.379524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.389524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.399524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.409524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.419524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.429524994354072e-03	3.240136e+00	3.240115e+00	3.240120e+00
3.439524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.449524994354072e-03	3.240136e+00	3.240115e+00	3.240121e+00
3.459524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.469524994354072e-03	3.240136e+00	3.240115e+00	3.240121e+00
3.479524994354072e-03	3.240112e+00	3.240131e+00	3.240126e+00
3.489524994354072e-03	3.240136e+00	3.240115e+00	3.240121e+00
