time	V(N016,N024)	V(N048,out_1)	V(N074,N084)
2.009524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468095e-02
2.019524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469901e-02
2.029524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468097e-02
2.039524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469900e-02
2.049524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468099e-02
2.059524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469898e-02
2.069524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468100e-02
2.079524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469897e-02
2.089524994354072e-03	-4.469252e-02	-4.469776e-02	-4.468102e-02
2.099524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469895e-02
2.109524994354072e-03	-4.469204e-02	-4.469776e-02	-4.468103e-02
2.119524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469894e-02
2.129524994354072e-03	-4.469204e-02	-4.469776e-02	-4.468105e-02
2.139524994354072e-03	-4.468966e-02	-4.468417e-02	-4.469892e-02
2.149524994354072e-03	-4.469204e-02	-4.469776e-02	-4.468107e-02
2.159524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469891e-02
2.169524994354072e-03	-4.469204e-02	-4.469776e-02	-4.468108e-02
2.179524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469889e-02
2.189524994354072e-03	-4.469204e-02	-4.469776e-02	-4.468110e-02
2.199524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469887e-02
2.209524994354072e-03	-4.469204e-02	-4.469776e-02	-4.468111e-02
2.219524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469886e-02
2.229524994354072e-03	-4.469204e-02	-4.469776e-02	-4.468112e-02
2.239524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469885e-02
2.249524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468114e-02
2.259524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469883e-02
2.269524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468115e-02
2.279524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469882e-02
2.289524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468117e-02
2.299524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469881e-02
2.309524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468118e-02
2.319524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469879e-02
2.329524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468119e-02
2.339524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469878e-02
2.349524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468121e-02
2.359524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469877e-02
2.369524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468122e-02
2.379524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469875e-02
2.389524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468123e-02
2.399524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469874e-02
2.409524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468125e-02
2.419524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469873e-02
2.429524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468126e-02
2.439524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469871e-02
