time	Ix(Sgnd12:D)
1.501677720200402e-02	-7.746768e-06
1.502677720200402e-02	-7.746768e-06
1.503677720200402e-02	-7.746768e-06
1.504677720200401e-02	-7.746768e-06
1.505677720200402e-02	-7.746768e-06
1.506677720200402e-02	-7.746767e-06
1.507677720200402e-02	-7.746767e-06
1.508677720200402e-02	-7.746767e-06
1.509677720200402e-02	-7.746767e-06
1.510677720200402e-02	-7.746767e-06
1.511677720200402e-02	-7.746767e-06
1.512677720200402e-02	-7.746767e-06
1.513677720200402e-02	-7.746767e-06
1.514677720200402e-02	-7.746767e-06
1.515677720200402e-02	-7.746767e-06
1.516677720200402e-02	-7.746766e-06
1.517677720200401e-02	-7.746766e-06
1.518677720200402e-02	-7.746765e-06
1.519677720200402e-02	-7.746765e-06
1.520677720200402e-02	-7.746765e-06
1.521677720200401e-02	-7.746765e-06
1.522677720200402e-02	-7.746765e-06
1.523677720200402e-02	-7.746765e-06
1.524677720200402e-02	-7.746765e-06
1.525677720200402e-02	-7.746765e-06
1.526677720200402e-02	-7.746765e-06
1.527677720200402e-02	-7.746765e-06
1.528677720200402e-02	-7.746765e-06
1.529677720200402e-02	-7.746765e-06
1.530677720200402e-02	-7.746765e-06
1.531677720200402e-02	-7.746765e-06
1.532677720200402e-02	-7.746765e-06
1.533677720200402e-02	-7.746764e-06
1.534677720200401e-02	-7.746764e-06
1.535677720200402e-02	-7.746763e-06
1.536677720200402e-02	-7.746763e-06
1.537677720200402e-02	-7.746763e-06
1.538677720200401e-02	-7.746763e-06
1.539677720200402e-02	-7.746763e-06
1.540677720200402e-02	-7.746763e-06
1.541677720200402e-02	-7.746763e-06
1.542677720200402e-02	-7.746763e-06
1.543677720200402e-02	-7.746763e-06
1.544677720200402e-02	-7.746763e-06
1.545677720200402e-02	-7.746763e-06
1.546677720200402e-02	-7.746763e-06
1.547677720200401e-02	-7.746763e-06
1.548677720200402e-02	-7.746763e-06
1.549677720200402e-02	-7.746763e-06
1.550677720200402e-02	-7.746763e-06
1.551677720200401e-02	-7.746763e-06
1.552677720200402e-02	-7.746763e-06
1.553677720200402e-02	-7.746763e-06
1.554677720200402e-02	-7.746763e-06
1.555677720200402e-02	-7.746762e-06
1.556677720200402e-02	-7.746762e-06
1.557677720200402e-02	-7.746762e-06
1.558677720200402e-02	-7.746762e-06
1.559677720200402e-02	-7.746761e-06
1.560677720200402e-02	-7.746761e-06
1.561677720200402e-02	-7.746761e-06
1.562677720200402e-02	-7.746761e-06
1.563677720200402e-02	-7.746761e-06
1.564677720200401e-02	-7.746761e-06
1.565677720200401e-02	-7.746761e-06
1.566677720200401e-02	-7.746761e-06
1.567677720200402e-02	-7.746761e-06
1.568677720200402e-02	-7.746761e-06
1.569677720200402e-02	-7.746761e-06
1.570677720200402e-02	-7.746761e-06
1.571677720200402e-02	-7.746761e-06
1.572677720200402e-02	-7.746761e-06
1.573677720200401e-02	-7.746761e-06
1.574677720200401e-02	-7.746761e-06
1.575677720200402e-02	-7.746761e-06
1.576677720200402e-02	-7.746761e-06
1.577677720200402e-02	-7.746761e-06
1.578677720200402e-02	-7.746761e-06
1.579677720200402e-02	-7.746761e-06
1.580677720200402e-02	-7.746761e-06
1.581677720200401e-02	-7.746761e-06
1.582677720200401e-02	-7.746761e-06
1.583677720200401e-02	-7.746760e-06
1.584677720200402e-02	-7.746760e-06
1.585677720200402e-02	-7.746760e-06
1.586677720200402e-02	-7.746760e-06
1.587677720200402e-02	-7.746760e-06
1.588677720200402e-02	-7.746760e-06
1.589677720200402e-02	-7.746760e-06
1.590677720200401e-02	-7.746760e-06
1.591677720200401e-02	-7.746760e-06
1.592677720200402e-02	-7.746760e-06
1.593677720200402e-02	-7.746760e-06
1.594677720200402e-02	-7.746760e-06
1.595677720200402e-02	-7.746759e-06
1.596677720200402e-02	-7.746759e-06
1.597677720200402e-02	-7.746759e-06
1.598677720200401e-02	-7.746759e-06
1.599677720200401e-02	-7.746759e-06
1.600677720200401e-02	-7.746759e-06
1.601677720200402e-02	-7.746759e-06
1.602677720200402e-02	-7.746759e-06
1.603677720200402e-02	-7.746759e-06
1.604677720200402e-02	-7.746759e-06
1.605677720200402e-02	-7.746759e-06
1.606677720200402e-02	-7.746759e-06
1.607677720200401e-02	-7.746759e-06
1.608677720200401e-02	-7.746759e-06
1.609677720200402e-02	-7.746759e-06
1.610677720200402e-02	-7.746759e-06
1.611677720200402e-02	-7.746759e-06
1.612677720200402e-02	-7.746759e-06
1.613677720200402e-02	-7.746759e-06
1.614677720200402e-02	-7.746759e-06
1.615677720200401e-02	-7.746759e-06
1.616677720200401e-02	-7.746759e-06
1.617677720200401e-02	-7.746759e-06
1.618677720200402e-02	-7.746759e-06
1.619677720200402e-02	-7.746759e-06
1.620677720200402e-02	-7.746759e-06
1.621677720200402e-02	-7.746759e-06
1.622677720200402e-02	-7.746759e-06
1.623677720200402e-02	-7.746759e-06
1.624677720200401e-02	-7.746759e-06
1.625677720200401e-02	-7.746759e-06
1.626677720200402e-02	-7.746759e-06
1.627677720200402e-02	-7.746759e-06
1.628677720200402e-02	-7.746759e-06
1.629677720200402e-02	-7.746759e-06
1.630677720200402e-02	-7.746759e-06
1.631677720200402e-02	-7.746759e-06
1.632677720200401e-02	-7.746759e-06
1.633677720200401e-02	-7.746758e-06
1.634677720200401e-02	-7.746758e-06
1.635677720200402e-02	-7.746758e-06
1.636677720200402e-02	-7.746758e-06
1.637677720200402e-02	-7.746758e-06
1.638677720200402e-02	-7.746758e-06
1.639677720200402e-02	-7.746758e-06
1.640677720200402e-02	-7.746758e-06
1.641677720200401e-02	-7.746758e-06
1.642677720200401e-02	-7.746758e-06
1.643677720200401e-02	-7.746758e-06
1.644677720200402e-02	-7.746758e-06
1.645677720200402e-02	-7.746758e-06
1.646677720200402e-02	-7.746758e-06
1.647677720200402e-02	-7.746758e-06
1.648677720200402e-02	-7.746758e-06
1.649677720200401e-02	-7.746758e-06
1.650677720200401e-02	-7.746758e-06
1.651677720200401e-02	-7.746758e-06
1.652677720200402e-02	-7.746758e-06
1.653677720200402e-02	-7.746758e-06
1.654677720200402e-02	-7.746758e-06
1.655677720200402e-02	-7.746758e-06
1.656677720200402e-02	-7.746758e-06
1.657677720200402e-02	-7.746758e-06
1.658677720200401e-02	-7.746758e-06
1.659677720200401e-02	-7.746758e-06
1.660677720200401e-02	-7.746758e-06
1.661677720200402e-02	-7.746758e-06
1.662677720200402e-02	-7.746758e-06
1.663677720200402e-02	-7.746758e-06
1.664677720200402e-02	-7.746758e-06
1.665677720200402e-02	-7.746758e-06
1.666677720200401e-02	-7.746758e-06
1.667677720200401e-02	-7.746758e-06
1.668677720200401e-02	-7.746758e-06
1.669677720200402e-02	-7.746758e-06
1.670677720200402e-02	-7.746758e-06
1.671677720200402e-02	-7.746758e-06
1.672677720200402e-02	-7.746758e-06
1.673677720200402e-02	-7.746758e-06
1.674677720200402e-02	-7.746758e-06
1.675677720200401e-02	-7.746758e-06
1.676677720200401e-02	-7.746758e-06
1.677677720200401e-02	-7.746758e-06
1.678677720200402e-02	-7.746758e-06
1.679677720200402e-02	-7.746758e-06
1.680677720200402e-02	-7.746758e-06
1.681677720200402e-02	-7.746758e-06
1.682677720200402e-02	-7.746758e-06
1.683677720200401e-02	-7.746758e-06
1.684677720200401e-02	-7.746758e-06
1.685677720200401e-02	-7.746758e-06
1.686677720200402e-02	-7.746758e-06
1.687677720200402e-02	-7.746758e-06
1.688677720200402e-02	-7.746758e-06
1.689677720200402e-02	-7.746758e-06
1.690677720200402e-02	-7.746758e-06
1.691677720200402e-02	-7.746758e-06
1.692677720200401e-02	-7.746758e-06
1.693677720200401e-02	-7.746758e-06
1.694677720200401e-02	-7.746758e-06
1.695677720200402e-02	-7.746758e-06
1.696677720200402e-02	-7.746758e-06
1.697677720200402e-02	-7.746758e-06
1.698677720200402e-02	-7.746758e-06
